#IXO 3.2 m diameter 20 m focal length prescription file,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#"P Reid June 7, 2008",,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#"Use Shells 73-172 (outer module); 185-302 (middle module), and 321-461 (inner module).",,,,,,,,,,,,,,,,,
#"Outer module also missing shells 85, 99, 113,...,169 (left off for weight savings)",,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#Prescription forms:,,,,,,,,,,,,,,,,,
#,primary - ,r^2 = (d+a+z)^2 - (a+z)^2,,,,,,,,,,,,,,,
#,secondary - ,r^2 = e^2 * (d+z)^2 - z^2,,,,,,,,,,,,,,,
## Note: For the primary, r = r(z), and z runs from 20025 to 20225.  Then
##  r_int = r(20025) 
##  r_aft = r(20225)
#,,,,,,,,,,,,,,,,,
#,"where z=axial direction, z= 0 at nominal on-axis focus, P runs from Z = 20025 mm to 20225 mm,
## and S runs from Z = 19975 mm to 19775 mm",,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
shell,r_int (mm),r_aft (mm),r_for (mm),alpha (rad),graze (rad),d (mm),e,a (mm),ca (cm^2),graze (rad),rh forward,rh aft,Weight (kg),h graze (rad)
106,1446.789150,1447.240464,1450.845922,0.018053417,0.018025340,26.122325919,1.001305263,20052.2616889776,328.263596424423,0.018025340,1445.433747,1434.585397,3.645013,0.054188650
107,1442.198625,1442.648511,1446.242567,0.017996333,0.017968345,25.957089340,1.001297012,20051.9310011035,326.187167490814,0.017968345,1440.847516,1430.033535,3.633447,0.054017309
108,1437.619741,1438.068204,1441.650885,0.017939392,0.017911492,25.792791524,1.001288808,20051.6021933246,324.12253541384,0.017911492,1436.272916,1425.493216,3.621911,0.053846397
109,1433.052468,1433.499511,1437.070847,0.017882594,0.017854782,25.629427472,1.001280650,20051.2752556085,322.069637381072,0.017854782,1431.709915,1420.964411,3.610405,0.053675913
110,1428.496776,1428.942402,1432.502421,0.017825938,0.017798214,25.466992210,1.001272539,20050.9501779826,320.028410894646,0.017798214,1427.158485,1416.447090,3.598927,0.053505855
111,1423.952636,1424.396849,1427.945579,0.017769423,0.017741787,25.305480790,1.001264474,20050.6269505288,317.998793801193,0.017741787,1422.618596,1411.941224,3.587479,0.053336224
112,1419.420017,1419.862820,1423.400289,0.017713051,0.017685501,25.144888292,1.001256454,20050.3055633658,315.980724232031,0.017685501,1418.090217,1407.446783,3.576059,0.053167017
113,1414.898890,1415.340287,1418.866524,0.017656819,0.017629357,24.985209818,1.001248480,20049.9860066771,313.97414066297,0.017629357,1413.573319,1402.963737,3.564669,0.052998233
114,1410.389225,1410.829220,1414.344252,0.017600728,0.017573353,24.826440499,1.001240552,20049.6682706929,311.978981891973,0.017573353,1409.067873,1398.492058,3.553307,0.052829872
115,1405.890992,1406.329588,1409.833444,0.017544777,0.017517489,24.668575488,1.001232668,20049.3523456947,309.995187016529,0.017517489,1404.573849,1394.031715,3.541975,0.052661933
